,zip,year,half_year,violence_type,0
20,77003,2017,first,non-violent,5.333333333333333
35,77004,2017,first,non-violent,6.0
50,77006,2017,first,non-violent,10.5
66,77007,2017,first,non-violent,21.166666666666668
81,77008,2017,first,non-violent,13.0
94,77009,2017,first,non-violent,1.5
121,77015,2017,first,non-violent,9.333333333333334
122,77015,2017,first,violent,2.6666666666666665
143,77019,2017,first,non-violent,25.333333333333332
158,77020,2017,first,non-violent,3.8333333333333335
183,77022,2017,first,non-violent,6.833333333333333
184,77022,2017,first,violent,4.0
202,77024,2017,first,non-violent,5.166666666666667
216,77025,2017,first,non-violent,4.5
235,77027,2017,first,non-violent,1.5
266,77030,2017,first,non-violent,9.833333333333334
277,77032,2017,first,non-violent,2.5
294,77036,2017,first,non-violent,3.8333333333333335
317,77040,2017,first,non-violent,2.8333333333333335
336,77043,2017,first,non-violent,1.0
347,77044,2017,first,non-violent,1.8333333333333333
362,77045,2017,first,non-violent,10.333333333333334
384,77047,2017,first,non-violent,14.166666666666666
385,77047,2017,first,violent,2.6666666666666665
398,77048,2017,first,non-violent,4.333333333333333
413,77051,2017,first,non-violent,2.5
428,77053,2017,first,non-violent,5.833333333333333
442,77054,2017,first,non-violent,17.5
466,77055,2017,first,non-violent,7.0
475,77056,2017,first,non-violent,6.166666666666667
493,77061,2017,first,non-violent,2.1666666666666665
498,77064,2017,first,non-violent,5.833333333333333
503,77066,2017,first,non-violent,1.8333333333333333
523,77075,2017,first,non-violent,4.166666666666667
546,77077,2017,first,non-violent,19.833333333333332
559,77078,2017,first,non-violent,1.6666666666666667
569,77079,2017,first,non-violent,2.0
584,77082,2017,first,non-violent,4.333333333333333
585,77084,2017,first,non-violent,3.8333333333333335
600,77085,2017,first,non-violent,1.8333333333333333
625,77089,2017,first,non-violent,21.833333333333332
626,77089,2017,first,violent,2.8333333333333335
640,77092,2017,first,non-violent,1.6666666666666667
655,77093,2017,first,non-violent,5.833333333333333
672,77339,2017,first,non-violent,2.1666666666666665
689,77346,2017,first,non-violent,8.833333333333334
693,77379,2017,first,non-violent,2.8333333333333335
706,77506,2017,first,non-violent,2.6666666666666665
721,77571,2017,first,non-violent,10.0
741, ,2017,first,non-violent,18.666666666666668
770,77002,2017,first,non-violent,460.5
771,77002,2017,first,violent,81.0
800,77003,2017,first,non-violent,309.8333333333333
801,77003,2017,first,violent,48.333333333333336
830,77004,2017,first,non-violent,851.6666666666666
831,77004,2017,first,violent,246.66666666666666
860,77005,2017,first,non-violent,294.5
861,77005,2017,first,violent,12.666666666666666
890,77006,2017,first,non-violent,949.0
891,77006,2017,first,violent,98.0
920,77007,2017,first,non-violent,1129.6666666666667
921,77007,2017,first,violent,71.16666666666667
950,77008,2017,first,non-violent,739.8333333333334
951,77008,2017,first,violent,57.0
980,77009,2017,first,non-violent,631.0
981,77009,2017,first,violent,196.83333333333334
1000,77010,2017,first,non-violent,36.166666666666664
1001,77010,2017,first,violent,3.5
1030,77011,2017,first,non-violent,232.16666666666666
1031,77011,2017,first,violent,72.83333333333333
